"Base License Number","Base Name","DBA","Year","Month","Month Name","Total Dispatched Trips","Total Dispatched Shared Trips","Unique Dispatched Vehicles"
"B01197","TEL-A-CAR OF NEW YORK, LLC",,"2016","4","April","5,454","0","110"
"B00692","CHEERS DISPATCH,INC.","SEVENTH AVE CAR SERVICE","2017","8","August","2,743","0","15"
"B03181","EVEREST LUXURY CORP",,"2022","7","July","141","0","5"
"B02254","FINESSE GROUP LIMOUSINE,INC.",,"2018","7","July","1,336","0","8"
"B01079","THE METRO MARINE CAR SERVICE INC","MARINE LIMO & CAR SERVICE","2022","8","August","3,535","0","10"
"B02373","QUIET SERVICES INC","GOLDEN CLASS LIMO","2015","11","November","441","0","15"
"B02920","AMAZING CAR AND LIMO SERVICE INC",,"2018","10","October","776","0","6"
"B03430","G-4 CAR SERVICE INC",,"2025","3","March","7","0","2"
"B02651","SAROS TRANSPORTATION GROUP INC.",,"2018","6","June","199","0","17"
"B02162","A B C SHUTTLE SERVICES CORPORATION","ABC CAR SERVICES","2015","12","December","1","0","1"
"B02110","OPTIMUM CAR & LIMO, INC.",,"2016","9","September","1,468","0","7"
"B02727","OSCAR LIMOUSINE INC",,"2018","6","June","366","0","4"
"B02738","EXPLORER CAR SERVICE INC.",,"2016","10","October","861","0","14"
"B01699","DT BROOKLYN CAR AND LIMO SVC. INC.","FIVE BOROUGHS CAR SERVICE","2018","8","August","109","0","2"
"B02905","PUEBLA LUXURY CORP",,"2017","7","July","9,912","0","44"
"B02279","MATAMOROS CAR SERVICE INC.",,"2021","3","March","981","0","8"
"B01623","JAMAICA EXPRESS CAR SERVICE INC.","SUNSHINE CAR SERVICE","2015","10","October","1,949","0","10"
"B02111","HUANG HOU CAR SERVICES INC.","HUANG HOU CAR SERVICES INC.","2018","8","August","22,131","0","89"
"B01273","PUERTO RICO CAR SERVICE INC.",,"2019","6","June","688","0","4"
"B00492","BLU-WHITE ASSOCIATED TRANSPORTATION SERVICE INC",,"2019","3","March","2,193","0","10"
"B03456","3DI INC",,"2024","4","April","800","0","5"
"B01061","DAT RADIO DISP INC",,"2017","6","June","48,218","0","198"
"B02797","CJ LIMOUSINE LLC",,"2023","5","May","209","0","15"
"B02899","NEW BLACK LUXURY CARS CORP",,"2022","5","May","64","0","28"
"B00639","ROCAPULCO CAR SERVICE INC.",,"2017","4","April","4,471","0","15"
"B01995","NYMEX UNO EXECUTIVE SEDAN'S INC","NYMEX CAR SERVICE","2021","2","February","3,411","0","25"
"B02273","BENI'S LIMOUSINE SERVICE INC",,"2023","4","April","1","0","1"
"B02795","LIMO SEVEN TRANSPORTATION INC",,"2019","7","July","4,817","0","26"
"B00272","BIG APPLE CAR INC",,"2016","6","June","6,274","0","161"
"B01534","METRO CAR SERVICE CORP.","METROLINE CAR SERVICE","2017","4","April","4,754","0","23"
"B01639","HIGH CLASS LIMO CAR SVCE CORP",,"2016","10","October","16,875","0","275"
"B02573","SUNSET PARK CAR SERVICE INC",,"2018","6","June","2,428","0","11"
"B01332","SKYWAY CAR SERVICE EXPRESS INC.",,"2015","4","April","1,426","0","11"
"B00001","LONDON TOWNCARS INC",,"2017","7","July","1,203","0","29"
"B02110","OPTIMUM CAR & LIMO, INC.",,"2023","8","August","317","0","2"
"B02138","GUADALUPANA CAR LIMO, INC",,"2019","4","April","2,716","0","12"
"B03113","MIKE'S VIP TRANSPORTATION INC.",,"2020","3","March","637","0","8"
"B01128","PAK-EAGLE INC.","JEWEL CAR SERVICE","2021","10","October","533","0","4"
"B00202","EXCELSIOR CAR & LIMO, INC.",,"2022","11","November","1,111","0","12"
"B00222","REYNO CAR SVC, INC.",,"2019","12","December","1,497","0","12"
"B03041","PUEBLA CITY INC.",,"2022","12","December","2,070","0","10"
"B00693","BUSHWICK CAR SVCE INC",,"2018","1","January","5,983","0","35"
"B03042","BAYRIDGE EXPRESS LUXYRY INC",,"2017","12","December","1,469","0","7"
"B02167","MADISON LIMOUSINE INC",,"2019","9","September","84","0","6"
"B02967","ABIEL TRANSPORTATION CORP",,"2022","6","June","275","0","2"
"B02762","SHOWTIME TRANSPORTATION CORP.",,"2020","6","June","935","0","15"
"B01737","WASHINGTON RAD DISP INC",,"2016","4","April","2,601","0","41"
"B01215","ECUADOOR CORP",,"2023","6","June","570","0","5"
"B02287","ROAD NEW YORK ENTERPRISES INC.","DAI-ICHI LIMOUSINE","2023","10","October","161","0","9"
"B00477","INTA-BORO ACRES INC",,"2022","6","June","2,529","0","61"
"B02803","OUTSIDE'S CAR SERVICE INC.",,"2024","5","May","1,322","0","22"
"B02050","MAZIN  CAR & LIMO SVC., LLC",,"2024","12","December","199","0","5"
"B02971","ULTRA BLACK CAR TRANSPORTATION, CORP.",,"2024","6","June","477","0","81"
"B02897","FC LIMOUSINE INC",,"2024","2","February","7","0","3"
"B02809","NBT TRANSPORTATION INC",,"2020","1","January","395","0","7"
"B03262","ROYALTY FAMILY CORP",,"2022","1","January","878","0","15"
"B03603","T7T LIMO INC",,"2026","3","March","208","0","39"
"B03296","ZIP CONNECTIONS INC",,"2022","9","September","170","0","8"
"B01079","THE METRO MARINE CAR SERVICE INC","MARINE LIMO & CAR SERVICE","2025","3","March","2,162","0","6"
"B00446","COMMUNICAR INCORPORATED",,"2021","11","November","2,026","0","46"
"B02253","CRESTWOOD CAR & LIMO SVC,LTD",,"2017","12","December","436","0","8"
"B03336","GET BETTER TRANSPORTATION LLC.",,"2024","4","April","930","0","25"
"B02814","BELL LX INC",,"2018","8","August","6,542","0","25"
"B00811","LLAMA LIMO C/S CORP","METROGREEN CAR SERVICE","2017","7","July","1,817","0","34"
"B00459","910 CAR SERVICE INC",,"2017","8","August","7,294","0","47"
"B02860","EVERY WHERE LIMO SERVICE INC.",,"2025","1","January","2,207","0","54"
"B03266","HOYT LIMO & SERVICE CORP.",,"2022","4","April","8,599","0","45"
"B02747","LEGEND LUXURY LIMO INC.",,"2024","7","July","62","0","32"
"B03381","THE DRIVERS COOPERATIVE INC.",,"2022","5","May","12,121","0","332"
"B02055","MONTAGUE MANAGEMENT SERVICES, INC.","PROMINENT CAR & LIMO","2018","7","July","418","0","2"
"B02240","NEW APPLE TRANS. INC.","PALPAL LIMO","2024","5","May","55","0","8"
"B03284","MYLE WORLDWIDE INC",,"2024","2","February","9,272","0","599"
"B02803","OUTSIDE'S CAR SERVICE INC.",,"2024","7","July","949","0","22"
"B03239","CIBAO 2 INC.",,"2023","5","May","2,631","0","20"
"B02285","VALERA GLOBAL, INC.",,"2024","2","February","1,295","0","36"
"B01469","BROTHERS CAR SERVICE, INC.",,"2018","2","February","6,351","0","56"
"B02517","LOS PAISANOS LUXURY C/S INC.",,"2016","5","May","407","0","11"
"B01944","DAG NETWORK TRANSPORTATION,CORP",,"2024","8","August","43","0","4"
"B01367","ROYAL DISPATCH SERVICES, INC.","EXECUTIVE CARS","2022","12","December","1,596","0","234"
"B00255","CAUTIOUS CARS INC.",,"2016","12","December","222","0","13"
"B03105","MAZNA TRANSPORTATION CORPORATION",,"2026","2","February","174","0","12"
"B01083","BROAD DYCKMAN C/S INC",,"2015","9","September","22,126","0","118"
"B02245","OCEANA CAR AND LIMO",,"2025","6","June","718","0","3"
"b01079","THE METRO MARINE CAR SERVICE INC","MARINE LIMO & CAR SERVICE","2016","9","September","3,011","0","9"
"B01315","V.I.T. CAR SERVICE, INC.",,"2023","4","April","1,990","0","14"
"B00972","N.J.M.INC.","MID ISLAND CAR SVCE","2019","11","November","4,253","0","17"
"B02834","811 TRANSIT CORP",,"2016","10","October","567","0","16"
"B01957","ANIMO, INC","CHRIS LIMOUSINE U.S.A.","2017","9","September","77","0","2"
"B02228","SPECIAL RADIO DISP.CORP.",,"2022","11","November","5","0","1"
"B01340","UNICAR COMPANY INC",,"2017","10","October","21,531","0","118"
"B03204","EXTRA CAR SERVICE LLC",,"2025","9","September","16,119","0","59"
"B02248","HYBRID LIMO EXPRESS INC.",,"2025","2","February","8,207","0","84"
"LYFT","LYFT","LYFT","2022","8","August","4,684,984","0","48,172"
"B00256","FAST OPERATING CORP","CARMEL C/L SVCE","2023","11","November","17,631","0","325"
"B01727","CHAUFFEUR SERVICES, INC.","NICE GUYS LIMO","2018","4","April","29","0","2"
"B02416","NEW STORM CAR SERVICE, INC.",,"2017","10","October","5,596","0","11"
"B02093","V.J. CAR & LIMO SVC INC.",,"2024","7","July","483","0","4"
"B03158","SPOTON.PET LLC",,"2023","8","August","6","0","3"
"B01362","AMERICAN BASE NO.1 INC.",,"2017","7","July","11,102","0","85"
"B02148","MAVRIK TRANS INC.",,"2021","2","February","82","0","11"
"B02727","OSCAR LIMOUSINE INC",,"2015","11","November","180","0","4"
"b00984","P J CAR SVCE",,"2015","9","September","2,542","0","9"
"B03430","G-4 CAR SERVICE INC",,"2025","5","May","53","0","6"
"B02111","HUANG HOU CAR SERVICES INC.","HUANG HOU CAR SERVICES INC.","2017","5","May","28,522","0","119"
"B01339","R C AUDUBON SVC INC",,"2024","4","April","11,920","0","98"
"B02401","NORTHSIDE BK LLC",,"2020","1","January","3,253","0","48"
"B02005","CAR LINE TRANSPORTATION CORP.",,"2022","5","May","402","0","16"
"B01949","FIRST CLASS OF NEW YORK INC.","NEW YORK FIRST CLASS","2019","11","November","1,354","0","40"
"B02681","DIRECT CAR & LIMO SERVICE INC.",,"2015","8","August","72","0","3"
"B03081","DLS CAR AND LIMOUSINE SERVICE CORP","ALL TRANSFERS SERVICE","2022","1","January","45","0","4"
"B02316","AJAY CAR SERVICE, LLC.",,"2016","9","September","1,002","0","13"
"B00706","VIC & BAY CAR SERVICE, INC","DEJOY'S RED TOP","2024","5","May","7,736","0","21"
"B00647","KISS CAR SERVICE INC",,"2024","1","January","9,861","0","93"
"B01392","NEW AMERICAN CLASS L/C SERVICE CORP.",,"2017","5","May","4,316","0","21"
"B00789","VITAL TRANSPORTATION INC.",,"2018","2","February","10,623","0","200"
"B00692","CHEERS DISPATCH,INC.","SEVENTH AVE CAR SERVICE","2019","4","April","1,332","0","12"
"B02311","FAST CITY CAR & LIMO SVC INC.",,"2023","5","May","1,100","0","16"
"B00449","A KINGS HWY C/S INC.",,"2015","8","August","5,537","0","20"
"B02825","GUADALUPANA II CAR & LIMO INC",,"2023","12","December","3,208","0","25"
"B00457","PREMIUM BRONX CORP",,"2018","4","April","253","0","61"
"B01768","NEW SUPERIOR RADIO GRP CORP",,"2022","6","June","1,482","0","12"
"B03336","GET BETTER TRANSPORTATION LLC.",,"2022","2","February","237","0","7"
"B01899","ALLSTATE PRIVATE CAR & LIMO,INC",,"2023","11","November","58,039","0","313"
"B01338","3210 WEBSTER AV PRESTIGE C/S",,"2023","6","June","72,785","0","607"
"B03423","VETS CAR SERVICE INC",,"2024","9","September","103","0","9"
"B01678","G.T.N.Y. CAR SERVICE, INC.",,"2019","9","September","160","0","8"
"B01479","PRATT CAR SERVICE INC",,"2016","3","March","1,560","0","10"
"B02279","MATAMOROS CAR SERVICE INC.",,"2018","6","June","8,756","0","23"
"B03113","MIKE'S VIP TRANSPORTATION INC.",,"2022","10","October","620","0","18"
"B03124","MARR LIMO LLC",,"2023","9","September","13","0","2"
"B01470","AGUILA CAR & LIMO CORPORATION","VELOTAX CAR SERVICE","2019","9","September","1,918","0","19"
"B01282","NEW LOTS C/S INC",,"2025","1","January","16,971","0","128"
"B00056","TRANSIT PRIVATE CAR SERVICE INC.",,"2017","11","November","1,709","0","42"
"B00078","R & R ROAD LIMO SVCE INC",,"2023","1","January","242","0","19"
"B02811","M.L TRIPS CORP.",,"2015","12","December","273","0","18"
"B02794","ASAP LUXE INC",,"2023","2","February","4,820","0","25"
"B00457","PREMIUM BRONX CORP",,"2018","12","December","6,313","0","40"
"B02920","AMAZING CAR AND LIMO SERVICE INC",,"2018","1","January","1,035","0","13"
"B03553","USA LUXURY EXPRESS INC.",,"2025","2","February","4","0","3"
"B01239","BEST DEAL PVT C/S INC","BEST DEAL DOMINICAN C/S INC","2020","3","March","30,196","0","216"
"B02901","GALLANT LUXURY SERVICE CORP.",,"2019","1","January","1,152","0","15"
"B00556","SURREY CADILLAC LIMO SVC INC",,"2018","1","January","664","0","19"
"B02613","NYC STAR LIMOUSINE & CAR SERVICES CORP.","NYS CAR SERVICE","2018","10","October","779","0","6"
"B00337","KEW GARDENS ENTERPRISES INC.",,"2016","7","July","305","0","13"
"B03160","CURB TRANSPORTATION SERVICES,LLC","CURB MOBILITY-CURB TRANS","2023","11","November","14,236","0","1,503"
"B02724","CORE CAR, INC",,"2024","5","May","366","0","32"
"B02437","EXCELLENT CAR & LIMO SERVICE, INC.",,"2016","2","February","49,773","0","205"
"B02569","LAPUMA GO GREEN LLC","GO GREENRIDE","2015","10","October","2,880","0","35"
"B02799","CHURCH AVENUE EXPRESS INC",,"2022","11","November","3,683","0","15"
"B00255","CAUTIOUS CARS CORP",,"2023","4","April","24","0","3"
"B02133","TWR CAR & LIMO, INC.",,"2023","3","March","79,785","0","436"
"B01338","3210 WEBSTER AV PRESTIGE C/S",,"2019","6","June","18,993","0","94"
"B01176","SANTO DOMINGO CAR LIMO SERVICES INC",,"2023","11","November","10,359","0","83"
"B02756","ALLY CAR SERVICE LLC","ACTIVE EXPRESS CAR & LIMO 2","2025","1","January","182","0","6"
"B01200","NEW YORK APPLE CAR SERVICE INC","N Y LIMO & CAR SVCE","2024","10","October","8,176","0","131"
"B02971","ULTRA BLACK CAR TRANSPORTATION, CORP.",,"2025","3","March","609","0","51"
"B02551","CHIEF LIMO INC.",,"2017","7","July","4","0","2"
"B02491","CALL THREES LLC",,"2016","12","December","992","0","6"
"B02546","X RADIO DISPATCHER INC.",,"2020","7","July","7,505","0","37"
"B01215","ECUADOOR CORP",,"2016","3","March","21,804","0","69"
"B01559","MUNKACS CAR SVC LTD",,"2018","6","June","3,492","0","13"
"B02774","ALFRED HOLDINGS INC.","ALFRED EXECUTIVE TRANSPORTATION","2022","12","December","785","0","32"
"B03324","PORT RICHMOND BLACK CAR INC.",,"2022","4","April","267","0","2"
"B01128","PAK-EAGLE INC.","JEWEL CAR SERVICE","2017","7","July","1,724","0","6"
"B02352","SUPER FAST LIMOUSINE SERVICE, INC.",,"2019","1","January","5,312","0","30"
"B01146","CHURCH AVE C/S INC",,"2018","7","July","6,193","0","30"
"B03185","G&J LUXURY TRANSPORTATION INC",,"2022","11","November","167","0","9"
"B02050","MAZIN  CAR & LIMO SVC., LLC",,"2025","7","July","199","0","4"
"B03296","ZIP CONNECTIONS INC",,"2024","6","June","82","0","7"
"B03028","CASTILLO CAR & LIMO INC",,"2018","3","March","1,403","0","9"
"B00222","REYNO CAR SVC, INC.",,"2015","9","September","5,332","0","40"
"B00756","T & S HILLSIDE INC.","RED CAP CAR SERVICE","2020","1","January","5,529","0","33"
"b00906","OLYMPIA OPERATING CAR SERVICE OF NY CORP.",,"2016","8","August","1,840","0","10"
"B01339","R C AUDUBON SVC INC",,"2025","7","July","11,221","0","97"
"B00692","CHEERS DISPATCH,INC.","SEVENTH AVE CAR SERVICE","2023","11","November","4,055","0","26"
"B01938","ALL STAR LIMOUSINE SERVICE, LTD.",,"2018","11","November","965","0","55"
"B01065","EL BARRIO'S CAR SERVICE LLC",,"2020","8","August","10,347","0","50"
"B03243","CAPRICE CAR SERVICE NO.2,INC",,"2019","11","November","2,134","0","14"
"B00860","SEAMAN RADIO DISPATCHERS INC",,"2021","1","January","6,319","0","44"
"B01989","ICS-NY, INC.",,"2016","2","February","477","0","25"
"B03200","L & J LOGISTICS CORP.",,"2026","2","February","1,734","0","11"
"B02127","CONTINENTAL RIDE, INC.","I + I TRANSPORTATION","2024","1","January","42","0","5"
"B01263","RACHEL'S CAR SERVICE,INC.",,"2017","7","July","3,022","0","19"
"B02997","KALUMA TRANSPORTATION GROUP INC.",,"2024","3","March","9,317","0","80"
"B01764","QUICK RIDE CORP.",,"2016","7","July","993","0","13"
"B03096","QUDOS FLEET NEW YORK 1 LLC",,"2019","7","July","67","0","33"
"B01899","ALLSTATE PRIVATE CAR & LIMO,INC",,"2020","5","May","14,385","0","146"
"B00429","SURF CAR SYSTEMS INC",,"2022","1","January","2,281","0","35"
"B02795","LIMO SEVEN TRANSPORTATION INC",,"2021","12","December","5,529","0","32"
"B02819","FIVE STAR LUXURY INC.",,"2018","10","October","621","0","3"
"B02331","CHICO EXPRESS LIMO, INC.",,"2018","6","June","1,178","0","6"
"B01088","PAISA 2 CAR  AND LIMOUSINE SERVICE INC",,"2020","8","August","89","0","3"
"JUNO","JUNO","JUNO","2016","10","October","633,227","0","13,173"
"B00078","R & R ROAD LIMO SVCE INC",,"2024","4","April","514","0","28"
"B01045","CAPRICE CAR SERVICE NO.2 INC.",,"2018","1","January","3,574","0","22"
"B03380","ELECTRIC PEPPERS LLC",,"2023","7","July","138,952","0","366"
"B00856","BEE-BEE CAR SERVICE INC.",,"2017","10","October","13,136","0","69"
"B02951","APPROACH QUALITY TRANSPORTATION, LLC",,"2017","6","June","1,482","0","28"
"B01801","SHUTTLEUP LLC","HENRY LIMOUSINE","2016","11","November","762","0","27"
"B02095","COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,",,"2019","11","November","2,815","0","108"
"B02760","VISMAR RADIO DISPATCH INC.",,"2019","9","September","87","0","3"
"B00429","SURF CAR SYSTEMS INC",,"2019","2","February","2,891","0","24"
"B02424","FRIENDLY RIDE INC",,"2024","11","November","625","0","27"
"B02849","BROOKLYN RIDES CORP",,"2022","9","September","12,004","0","87"
"B03048","ATLANTIS TRANSPORTATION SERVICES INC",,"2017","9","September","894","0","7"
"B00013","LOVE CORPORATE CAR INC",,"2015","2","February","9,070","0","131"
"B01315","V.I.T. CAR SERVICE, INC.",,"2019","7","July","13,036","0","56"
"B01306","R N D TRANSPORTATION, INC.","MALONES CAR SVCE","2022","5","May","104","0","3"
"B03299","WHITE TOP CAR SVCE INC",,"2023","8","August","5,303","0","37"
"B03128","RIDE SMART CORP.",,"2022","1","January","2,980","0","9"
"B01413","SFL INC",,"2024","3","March","851","0","36"
"B01568","N.Y. MEXICANA CAR & LIMO SVC CRP.","N.Y. MEXICANA CAR SERVICE","2020","6","June","622","0","11"
"B03618","EPIC NY LIMO INC",,"2025","12","December","474","0","58"
"B01616","H & B CAR AND LIMOUSINE, INC","SUNNYSIDE CAR SERVICE","2023","10","October","104","0","2"
"B02127","CONTINENTAL RIDE, INC.","I + I TRANSPORTATION","2026","1","January","55","0","2"
"B00906","OLYMPIA OPERATING CAR SERVICE OF NY CORP.",,"2021","3","March","998","0","6"
"B01568","N.Y. MEXICANA CAR & LIMO SVC CRP.","N.Y. MEXICANA CAR SERVICE","2024","10","October","418","0","5"
"B00975","T.J.Q. CAR SERVICE, INC.","QUALITY CAR SVCE","2016","7","July","2,936","0","102"
"B00628","CONCORD LIMOUSINE 1, LLC",,"2023","2","February","2,272","0","88"
"B02157","REAGAN CONVEYANCE  CORP.","DELUX TRANSPORTATION SERVICES","2018","7","July","4,550","0","148"
"B03171","HIGHLAND TRANSPORTATION MANAGEMENT CORP.",,"2024","4","April","4,545","0","38"
"B00131","NEW MEXICANA CAR SERVICE II INC.","AZTECA EXPRESS","2018","1","January","1,155","0","7"
"B00850","UPTOWN TRANSIT CORP",,"2018","5","May","252","0","6"
"B03399","BLACKLANE NORTH AMERICA INC",,"2026","1","January","12,882","0","642"
"B02774","ALFRED HOLDINGS INC.","ALFRED EXECUTIVE TRANSPORTATION","2015","12","December","86,226","0","1,952"
"B00381","BELL RADIO INC",,"2024","12","December","582","0","144"
"B01743","TWO-WAY BLACK CARS AND RADIO GROUP TRANS INC",,"2024","2","February","2,911","0","374"
"B01803","V.I.P. CONNECTION, INC.","CARLINK","2024","3","March","1,288","0","52"
"B01510","JPAN TRANSPORTATION INC","PARSONS CAR SERVICE","2019","7","July","934","0","6"
"B02462","TIFFANY'S CAR SERVICE INC.",,"2015","9","September","1,988","0","15"
"B03348","APPLE CITY CAR INC",,"2024","6","June","243","0","17"
"B03046","BEL-LINDA, INC","ISLANDER TRANS","2018","12","December","4,420","0","10"
"B02737","BWJ GROUP INC",,"2018","11","November","2,853","0","12"
"B02162","A B C SHUTTLE SERVICES CORPORATION","ABC CAR SERVICES","2024","6","June","1,805","0","12"
"B02352","SUPER FAST LIMOUSINE SERVICE, INC.","MEGA SUNSET CAR SERVICE","2020","1","January","2,645","0","23"
"B01980","READY TO ROLL TRANSPORTATION, INC.",,"2025","12","December","411","0","14"
"B02093","V.J. CAR & LIMO SVC INC.",,"2020","7","July","545","0","4"
"B00860","SEAMAN RADIO DISPATCHERS INC",,"2021","9","September","6,051","0","41"
"B02944","SCORPIO FIVE STAR CAR & LIMO SERVICE INC",,"2019","11","November","1,281","0","7"
"B02093","V.J. CAR & LIMO SVC INC.",,"2024","4","April","419","0","4"
"B02793","SEAVIEW ISLAND CAR SERVICE",,"2016","11","November","496","0","4"
"B03061","BLUE EAGLE TRANSPORTATION SERVICES CORP",,"2023","7","July","512","0","5"
"B00559","7 OCEAN EXPRESS INC.",,"2021","5","May","27","0","8"
"B03240","ARECIBO EXPRESS INC.",,"2021","3","March","208","0","15"
"B01980","READY TO ROLL TRANSPORTATION, INC.",,"2024","8","August","128","0","10"
"B01871","ALPINE LIMOUSINE SERVICE, INC.",,"2015","4","April","5,826","0","62"
"B01083","BROAD DYCKMAN C/S INC",,"2019","8","August","9,366","0","44"
"B00932","NATASHAS GRP CAR CORP",,"2018","7","July","3,837","0","28"
"B00306","LOVE LIMOUSINE NYC LTD",,"2025","7","July","1,019","0","176"
"B01285","UNION RADIO DISPATCH INC",,"2021","8","August","5,794","0","33"
"B01079","THE METRO MARINE CAR SERVICE INC","MARINE LIMO & CAR SERVICE","2018","8","August","3,451","0","9"
"B02095","COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,",,"2016","2","February","2,423","0","126"
"B02971","ULTRA BLACK CAR TRANSPORTATION, CORP.",,"2019","3","March","6","0","4"
"B02860","EVERY WHERE LIMO SERVICE INC.",,"2025","6","June","2,273","0","36"
"B01717","HIGH CLASS BRONX LIMO C/S CORP",,"2023","11","November","3,975","0","33"
"B03060","EASTLAND BLACK CARS CORP",,"2020","6","June","9,823","0","64"
"B01315","V.I.T. CAR SERVICE, INC.",,"2024","7","July","475","0","4"
"B01351","HADERECH CAR SERVICE INC",,"2020","12","December","144","0","2"
"B01854","EUROPE LIMOUSINE SERVICE INC",,"2023","11","November","1,862","0","137"
"B03269","KID CAR NY,LLC",,"2020","12","December","212","0","9"
"B02505","TRELAWNY CAR SERVICE INC",,"2018","11","November","2,887","0","15"
"B01048","HILLSIDE 24 HOURS RADIO DISPATCH INC",,"2018","6","June","1,416","0","6"
"B02735","BEST DEAL CAR SERVICE 2,INC.",,"2024","11","November","25,898","0","148"
"B00412","NYC 2 WAY INTERNATIONAL LTD",,"2021","1","January","5,340","0","82"
"B01339","R C AUDUBON SVC INC",,"2022","7","July","5,270","0","37"
"B03015","TRI-COUNTY BLACK CARS INC",,"2020","7","July","2,122","0","11"
"B02110","OPTIMUM CAR & LIMO, INC.",,"2026","2","February","7,053","0","65"
"B01651","U.P.S. RADIO DISPATCH CORP.","WIRELESS CAR SERVICE","2016","2","February","13,603","0","88"
"B02960","MURRAY EXPRESS CAR SERVICE INC",,"2017","4","April","53","0","2"
"B00078","R & R ROAD LIMO SVCE INC",,"2016","1","January","1,221","0","48"
"B02373","QUIET SERVICES INC","GOLDEN CLASS LIMO","2017","10","October","28","0","6"
"b01129","GTWY INC","GATEWAY CAR & LIMO SVCE","2016","4","April","7,835","0","22"
"B02930","V.I.T. BLACK CAR TRANSPORTATION CORP.",,"2019","10","October","4,788","0","26"
"B01625","GLOBE CAR SERVICE INC",,"2020","7","July","231","0","1"
"B02531","CLEAN AIR CAR SERVICE AND PARKING CORP.",,"2017","9","September","4,488","0","41"
"B03156","EPIC CAR SERVICE INC.",,"2019","9","September","2,564","0","32"
"B00823","EASTERN L.P.B.,INC.","EASTERN CAR SVCE","2018","5","May","10,842","0","87"
"B00911","RIVERSIDE PLUS RADIO DISPATCH, INC.","NEW WEBSTER CAR & LIMO SERVICE","2015","7","July","6,954","0","75"
"B01470","AGUILA CAR & LIMO CORPORATION","VELOTAX CAR SERVICE","2026","2","February","3,441","0","32"
"B02573","SUNSET PARK CAR SERVICE INC",,"2023","3","March","243","0","2"
"B02793","SEAVIEW ISLAND CAR SERVICE",,"2019","5","May","17","0","3"
"B02248","HYBRID LIMO EXPRESS INC.",,"2016","7","July","711","0","4"
"B01009","UNITED LIMO C/M SVC CORP",,"2023","7","July","370","0","6"
"B01679","OLLIE'S TRANSPORTATION SERVICE","OLLIE'S AIRPORT SERVICE","2018","9","September","464","0","19"
"B02899","NEW BLACK LUXURY CARS CORP",,"2020","1","January","207","0","46"
"B02005","CAR LINE TRANSPORTATION CORP.","CAR LINE TRANSPORTATION CORP.","2018","3","March","1,063","0","26"
"B02243","BARONAS LUXURY II INC",,"2015","12","December","20","0","14"
"B03282","HOLY TRANSPORTATION CORP.",,"2024","9","September","463","0","6"
"B02629","CARLUX LIMO INC.",,"2026","2","February","442","0","57"
"B00084","AUTOMOTIVE SVC SYSTEM INC",,"2017","4","April","94","0","12"
"B01601","YOURS CAR SERVICE INC",,"2018","1","January","4,536","0","15"
"B01808","OLD TOWN CARS CORP","DELTA CARS","2016","7","July","2,138","0","10"
"B02217","PCS LIMOUSINE INC.",,"2019","7","July","351","0","10"
"B01606","LA MEXICANA EXPRESS INC.",,"2016","10","October","37,518","0","138"
"B02008","SCARSDALE TRIP SERVICE, INC.","RED OAK TRANSPORTATION","2021","5","May","28","0","2"
"B02868","CHA CHA TRANSPORTATION CORP",,"2018","3","March","361","0","5"
"B01875","ON LINE LIMOUSINE LLC",,"2019","10","October","707","0","17"
"B00975","T.J.Q. CAR SERVICE, INC.","QUALITY CAR SVCE","2026","3","March","1,916","0","14"
"B00196","NEW EASY WAY RADIO DISP INC",,"2020","9","September","16","0","2"
"B00628","CONCORD LIMOUSINE 1, LLC",,"2025","6","June","2,164","0","84"
"B02127","CONTINENTAL RIDE, INC.","I + I TRANSPORTATION","2020","1","January","65","0","6"
"B01339","R C AUDUBON SVC INC",,"2021","9","September","5,501","0","44"
"B01045","CAPRICE CAR SERVICE NO.2 INC.",,"2018","3","March","5,250","0","38"
"B01553","CITY LINE CAR SERVICE INC",,"2026","4","April","9,674","0","68"
"B01057","NEW AMERICAN C/L SVC",,"2022","3","March","702","0","9"
"B03171","HIGHLAND TRANSPORTATION MANAGEMENT CORP.",,"2020","11","November","5,540","0","54"
"B03032","A & S LIMOUSINE SERVICE CORP",,"2018","6","June","2,399","0","14"
"B02723","CHARLIE BLACK CAR INC.",,"2015","12","December","4,168","0","96"
"B00037","TRANSP UNLIMITED C/S",,"2015","6","June","13,626","0","54"
"B02240","NEW APPLE TRANS. INC.","PALPAL LIMO","2025","12","December","35","0","9"
"B00171","CURB TRANSPORTATION SERVICES LLC.",,"2018","8","August","219","0","2"
"B03057","PROSPECT LUXURY CAR SERVICE",,"2020","4","April","46","0","7"
"B01949","FIRST CLASS OF NEW YORK INC.","NEW YORK FIRST CLASS","2019","12","December","688","0","31"
"B00608","SUMMIT CORPORATE CAR INC.",,"2025","9","September","487","0","144"
"B03333","ABSOLUTE CAR SERVICE CORP.",,"2023","6","June","857","0","9"
"B01751","CONCORDE EXP OF N.Y. INC",,"2019","4","April","2,921","0","11"
"B01417","NESHER EXPRESS CAR SERVICE 2 INC.",,"2022","3","March","2,860","0","11"
"B01455","REPUBLICA CAR & LIMO SERVICE CORP.",,"2019","4","April","5,178","0","41"
"B00919","HARLEM CARS INC.",,"2025","10","October","1,554","0","18"
